empty_weight_W_mlg,88294.3471479612
empty_weight_W_eng,185607.16200000004
empty_weight_W_allelse,410671.38208354055
empty_weight_W_empty,1235595.308775425
empty_weight_xcg_w,27.63603686965725
empty_weight_xcg_h,54.054382107556755
empty_weight_xcg_v,52.26261118542185
empty_weight_xcg_f,26.1
empty_weight_xcg_nlg,4.7
empty_weight_xcg_mlg,28.31998791497858
empty_weight_xcg_eng,22.1
empty_weight_xcg_allelse,26.1
empty_weight_xcg_empty,26.389555667206988
fuel_weight_Mf_hist_start,0.99
fuel_weight_Mf_hist_taxi,0.99
fuel_weight_Mf_hist_takeoff,0.995
fuel_weight_Mf_hist_climb,0.98
fuel_weight_Mf_hist_cruise,0.70626400383851
fuel_weight_Mf_hist_descent,0.99
fuel_weight_Mf_hist_altcruise,0.9908628860145222
fuel_weight_Mf_hist_loiter,0.9884208344025144
fuel_weight_Mf_hist_landing,0.992
fuel_weight_LD_hist_cruise,22.359043739825825
fuel_weight_LD_hist_altcruise,22.637286271626007
fuel_weight_LD_hist_loiter,24.57620701414248
fuel_weight_C_hist_cruise,0.00013378976053224812
fuel_weight_C_hist_loiter,0.00010601198275447034
fuel_weight_C_hist_altcruise,0.00012113816282430525
fuel_weight_trapped_fuel_factor,1.01
thrust_matching_W0,2415714.012256121
thrust_matching_W_empty,1235595.308775425
thrust_matching_W_fuel,855868.7734806957
thrust_matching_T0,749000
thrust_matching_CLmaxTO,2.176580897656751
balance_xcg_fwd,25.8366264928193
balance_xcg_aft,27.117203007911236
balance_xnp,28.027577540644028
balance_SM_fwd,0.35100776426915087
balance_SM_aft,0.14584923277924072
balance_tank_excess,0.02098677841473018
balance_V_maxfuel,113.47198059718367
balance_W_maxfuel,873830.7017818219
balance_xcg_fuel,25.391252881080295
balance_CLv,0.7072561848230444
balance_CG_hist_xcg_e,26.389555667206988
balance_CG_hist_W_e,1235595.308775425
balance_CG_hist_xcg_ec,26.35316198854781
balance_CG_hist_W_ec,1245925.238775425
balance_CG_hist_xcg_epc,26.992365253829835
balance_CG_hist_W_epc,1559845.238775425
balance_CG_hist_xcg_efc,25.9614642469007
balance_CG_hist_W_efc,2101794.012256121
balance_CG_hist_xcg_efpc,26.42510353505125
balance_CG_hist_W_efpc,2415714.012256121
landing_gear_frac_nlg_fwd,0.10513813263149302
landing_gear_frac_nlg_aft,0.05092233371993383
landing_gear_alpha_tipback,0.21212011022472232
landing_gear_alpha_tailstrike,0.18248717911200274
landing_gear_phi_overturn,0.828584637633023
